AO,geriatrics,FLAG,,
2004_AO171,0.9167662945,1,2004_AO171,
2012_AO0007,0.9166719101,1,2012_AO0007,
2004_AO177,0.9125946952,1,2004_AO177,
2010_AO032,0.8473208009,1,2010_AO032,
2015_AO0009,0.8420287031,1,2015_AO0009,
2009_AO011,0.7594416492,0.5,#N/A,*chronic illness = elderly
1990_AO89A,0.7279042419,1,1990_AO89A,
2016_AO0001,0.7278429482,1,2016_AO0001,
2011_AO0017,0.721598778,1,2011_AO0017,
2011_AO0003,0.7190488637,1,2011_AO0003,
2011_AO0018,0.7172963955,1,2011_AO0018,
2012_AO0029,0.703937824,1,2012_AO0029,
2016_AO0014,0.6841609951,1,2016_AO0014,
2010_AO004,0.6834952073,1,2010_AO004,
2017_AO0001,0.6791331817,1,2017_AO0001,
2007_AO004,0.6687957867,1,2007_AO004,
1995_AO016A,0.6682222654,1,1995_AO016A,
2009_AO023,0.6237711733,1,2009_AO023,
2005_AO006,0.6227196824,1,2005_AO006,
2017_AO0008,0.6175849899,0.5,#N/A,
1973_AO188A,0.587181392,1,#N/A,*operational framework/function of the center
2010_AO022,0.5728125149,1,2010_AO022,
2014_AO0009,0.5699475583,0,#N/A,
2011_AO0013,0.5580034218,0,#N/A,
2003_AO122,0.5532888537,1,2003_AO122,
2009_AO010,0.5481223225,1,#N/A,
2016_AO0034,0.5354836134,0,#N/A,
1998_AO019,0.5310304307,1,1998_AO019,
2012_AO0023 (VERSION 2),0.5235273352,0,#N/A,
2012_AO0023,0.5228293823,0,#N/A,
2012_AO0023 (Version 2),0.5227702503,0,#N/A,REPEATED AO
1997_AO031A,0.5191568435,0,#N/A,
2016_AO0039,0.5155318313,1,#N/A,*operational framework
2016_AO0024,0.5129592426,1,#N/A,
2000_AO121,0.5097395229,1,#N/A,
2007_AO009,0.5077649517,1,2007_AO009,*operational framework
2005_AO011,0.5076292586,1,#N/A,
2011_AO0004,0.5014089634,0.5,#N/A,
2015_AO051,0.4959039466,0,#N/A,
1993_AO015,0.4938159291,1,#N/A,
