AO,Final Keywords
2006_AO016,children  under age of 18  under age 15  United Nations Children's Fund (UNICEF)  United Nations Convention on the Rights of the Child  1987 Philippine Constitution  Article 15 Section 3  AO 2005-0023  EO 310  0 to 17  Child Injury Prevention Program  Safe Kids  Bantay Bata  adolescent injuries  school  adolescents  Council for the Welfare of Children  Regional Child Injury Prevention Partnership (RCIPP) 
2013_AO0011,Children  Women and their Children Protection Unit  children  women  violence against women  violence agaisnt children  women and children protection unit  WCPU  child protection  sexual abuse  convention of the rights of children  beijing platform for action  child protection law  magna carta of women 2009  rape victim assistance and protection act of 1998  anti-rape act of 1998  anti-violence against women and their children's act of 2004  universal health care  kalusugan pangkalahatan  below 18 years old  RA 7610  RA 9208  RA 9775  RA 9262  child management information system  gender sensitivity  council for the welfare of children  CWC  philippine commision on women  PCW 
2013_AO0013,adolescent  adolescent health  10-19 years  teenagers  young people  young  parents  educators  Children's Health Cluster  Family Health  youth  AYHP  children  below 18  below the age of 18  transition  RA10354  adolescence  RA7610  early pregnancy  AHDP  Adolescent Health and Development Program  Council for the Welfare of Children  National Youth Commision  RA 8371  RA 9442  RA 9344  RA 9165  RA 9523  RA 7610  adolescent-friendly  school  social media  cruising sites  adolescent health package  Convention on the Rights of Children  life cycle approach  teachers  guidance counselors 
2007_AO009,school  Filipino people  life cycle  population  children  adolescents  adults  lifespan  youth teenagers schoolchildren childrenadolescents school-aged 
1998_AO001A,children  adolescents  adolescent reproductive health  reproductive health  all Filipinos  life cycle approach  child youth adolescentteenage  
2000_AO138A,Adolescent  youth  adolescent   youth health (AYH)  AYHP  schools  preadolescents in-school pre-adolescents teenagers transition-age youngsters school- out-of-school 
2004_AO176,children  children 12 months old and above  2-14 years old  6-14 years  school  school-based  school children 
2000_AO043,children  adolescents  adolescent health  education  couseling  sexual health  sexuality  abortion  women  universal access   Life Course Approach (LCA)  all stages of life  adolescent and youth health  adolescent reproductive health  young adults  parents  youth 
1999_AO024A,children  adolescents  adolescent health  education  couseling  sexual health  sexuality  abortion  women  universal access   Life Course Approach (LCA)  all stages of life  reproductive health 
1980_AO090B,schools  students  education  pupils  children  elementary  secondary  tertiary  vocational  school teachers postsecondary educations secondary-level graduates pre-university preuniversity 
2009_AO006,adolescents  youths preadolescents teenagers school-aged pre-adolescents school-age adults children 
1970_AO116,schools  students  teachers  undergraduates 
1997_AO009B,schools  expulsions  colleges universities academies high-schools  
1998_AO017A,children  prepubertal  sexual abuse  child prostitution  United Nations Children's Fund (UNICEF)  prediatric  adolescent youths teenagers 
2000_AO034A,adolescent  youth   youth health (AYH)  transitional stage  maturation  10-19  changes in body  parents  young people  15-24  adults  teachers  counselors  teenage  teen-age  schools  Childrens Health Program  AYHP  teenagers youths preadolescents pre-adolescents children teens preschoolers pre-schoolers 12-18-year-old 
1997_AO001B,children  gender-sensitive services  violence against women  women's desk program  women and children protection prgram  women and children protection unit  women sensitive  women friendly  violence against children  violence against women and children  gender sensitive  mothers adolescents child youth 
2000_AO144,children  childhood  Women and Children Protection Unit  WCPU  below 18 years  parental  child adults adolescents mothers 
2003_AO122,10-14  schoolboys  schoolgirls  children  young adults  younger adults  18 year-old  youth  high school  students  elementary  schools  Filipino people  children  adolescents  Family Health Office  teenagers  schoolchildren childrenadolescents school-aged school-age seniors pre-adolescents 
2006_AO035,reproductive health  young people  premarital sex  adolescent  adolescent reproductive health  schools  youth  adolescents teenagers  
2008_AO011,0-14 years old  children  adults  AO 178 
1994_AO031F,children  youth  aged 5 to 25 (adolescent 12-18)  child and youth unit (CYU)  adolescent youths parents teenagers 
2001_AO008,adolescent  children  adult  preadolescent young pre-adolescent preadolescents childrenadolescents teenagers youths school-age 
