AO,Final Keywords
2003_AO121,National newborn screening system  newborn screening  screening  metabolic disorders  newborn screening study group  newborns  vision of the child 21 framework  national institutes of health  life-threatening heritable diseases  parents  obstetrical pediatric services  newborn screening center  newborn screening reference center  Philippine health insurance corporation (PHIC)  NCDPC  NEC  BHFS   antenatal HIV AIDS chronic prevention  
2002_AO096,Multiple micronutrient supplementation  pregnant  recommended dietary allowance  deficiencies  disabilities  mental retardation  anemia  congenital malformations  FNRI  UNICEF   anemia anaemia iron malnourishment malnutrition rickets undernutrition nutrient deficiencyblood 
1998A_AO017B,Sexually transmitted diseases  STD  UNICEF  mental  psychological  physical  children  sexual  treatment  abuse  exploitation  pathogens  rectal  genital  vaginosis  infection  warts  trauma  contact  laboratory  gonorrhea  chlamydia  syphilis  HIV  congenital  herpes   chlamydiasis sputum microscoy  transmission  high risk  testing   
1996_AO009,Women's health and safe motherhood project  WHSMP  motherhood  LGU   women-centered woman women mother mother-friendlylive birth  rh law  reproductive health  abortion   
2002_AO102A,Vitamin  supplementation  vitamin a deficiency  national nutrition survey  preventive supplementation  therapeutic supplementation  prenatal vitamins  multivitamin  B-vitamin B micronutrient supplement diet dietary nutrition  
2004_AO132,Family planning  natural family planning  cervical mucus  standard days method  DOH-NFPMC  NNFPC  billings ovulation  pregnancies  fertility awareness   post-abortion abortion IVF counselling antenatalreprodutive health  safe motherhood  
1996_AO001A,Routine immunization  knock out polio  oplan alis disease  infants  OPV doses  child  vaccine vaccination revaccinationpoliovirus   
1972_AO166,maternity  leave  sicksalary  personal  travel 
1980_AO097A,Maternity  clinics  institutions  pedriatrics  simulated births  simulation  maternities deliverieschild health   youth health   city health center 
1997_AO025A,Neonatal  tetanus  livebirths  tetanus elimination  toxoid  pregnant  women  child-bearing  laboratory   newborn rubella perinatal intra-partum immunization vaccination antenatal  
2006_AO008,Delivery of health services  family planning for women of reproductive age  maternal mortality rate  pregnancy  childbearing  contraceptive  immunization  premature death  POPCOM  DOLE  DND  MDG  PHIC  ARMM   syphilis stillbirth mammography perinatal midwife midwifery reprodutive health  safe motherhood  
1996_AO021A,Maternal care delivery component  obstetrics  gynecology  lying-in  clinics   gynaecology neonatology obstetric obstetrical pediatrics paediatrics OBGYN birth birthingmaternal care service   
2002_AO071,Polio  polio-free  immunization  maintenance  hospital  poliomyelitis  knock-out polio  acute flaccid paralysis  polio virus  batik patak kontra polio   measles smallpox rabies vaccination vaccine immunize varicella poliovirus  polio eradication 
1978_AO340,Immunization  national tuberculosis program  bcg  nurses  nurses of the Philippine tuberculosis society  expanded programs in immunization (EPI)   HIV AIDS ART TB PMTCT drug vaccine   vaccination   
1992_AO005,Loperamide hydrochloride liquid  adverse CNS  BFAD  meclizine antinauseant promethazine azasetron dezocine chlophedianolpotential risk  antimicrobial resistance 
2003_AO119,Micronutrient supplmentation  deficiency  malnutrition  food fortification  iodination  VADD  RDA  iron  anemia  supplement  iodine  multiple micronutrients  lactating women  UNICEF  CPC  vitamin a day  garantisadong pambata fortificant nutriture nutrition dietary supplement  
1978_AO342,Tetracyclines  pigmentation  young  infants  pregnancy  rarefaction  intracranial  pressure  pediatric  neonates fetus eclampsia obstetric hypernatraemia hypodipsia 
1995_AO006,Integrated family planning and maternal health project  integrated family planning  maternal health   newborn child women woman responsible parenthood  contraceptive supply  core package  informed choice  prenatal care  birthing center  newborn care  reprodutive health 
1976_AO275,Midwife obstetrical nursery newborn  midwifery pre-natal  nursing birthing maternity obstetric antenatal intranatal maternal midwifery nurse child health   youth health   city health center 
1997_AO020,Funds  liquidation  disbursement  WHSMP  loan  expenditure   laboratory blood subsidy medicine plan debt fund loan bankcontinuing quality improvement  doh general appropriations act  funded project 
2003_AO095,Acute flaccid paralysis  neonatal tetanus  paralysis  RITM  measles   polio poliomyelitis chicken-pox chicken pox poliovirus 
1984_AO100,leave married woman  safe motherhood   
1997_AO001B,Women  children  protection  women's desk  hospital based  women crisis center  violence  multidisciplinary  multilevel  training program  call to action against domestic violence  women and children protection unit  gender sensitive health care  victims  survivor  rape  incest  torture  sex trafficking  abusive  exploitative  sensitive  collaboration  psychological  therapeutic  holistic  social worker psychiatrist  workplace post-suicide youth health  disadvantaged sector  mental health   
1998_AO010,Obstetrical emergency care  prenatal  postnatal  safe deliveries  waiting homes  maternal deaths  cesarean  OB  facility  unit  family planning  antenatal  lying-in   obstetric NICU birthing birth midwife baby safe motherhood  reproductive health   
2005_AO005,Newborn screening  maximum allowable service fees  ACNBS  NSC reimbursement precertificationprenatal care 
2003_AO039,Expanded program on immunization  vaccine preventable diseases  children  women  fully immunized child  polio  measles  tetanus  TB  infants  neonatal  national immunization days  injection  OPV  DPT  TT  vials  cold chain management  early childhood care development card (ECCD)  growth monitoring card (GMC)  baby book  surveillance  center for health development   neonates vaccination vaccine outbreak young 
1997_AO017,Combined diphtheria  whole cell pertussis  tetanus  hepatitis  tritanrix hb10  children  6 weeks  maternal and child health services (MCHS)  vaccine  whitish  intramuscular  doses  immunization vaccination vaccine drug 
1997_AO003,Grant-in-aid  KFW (Germany)  Germany  barangay health stations  rural health units  midwives   state-funded blood-bank government organization  lgu   
2005_AO014,National policies on infant and young feeding  feeding  NDHS  FNRI  infants  breastfeeding  global strategy for infant and young child feeding  UNICEF  food fortification  micronutrient  supplementation  support system  rooming in and breastfeeding act  mothers   maternal breastmilk infant nutrition ARTimmune responce  unprocessed food  infant formula 
2004_AO178,Tubercolosis  children  mother  father  infection  smear  anti TB  cough  fever   smear mycobacteremia fever sputum isosporiasis bacteriatreatment site 
