AO,Final Keywords
2004_AO177,older population  older people  elderly  Expanded Senior Citizens Act of 2003  senior population  quality health  sixty (60) years of age  medicines aged persons mammography-use
2011_AO0003,prevention  chronic  lifestyle  non-communicable disease  Cardiovascular diseases (CVD)  cancers  chronic respiratory diseases  diabetes  lifestyle  lifestyle-related  ncds  unhealthy lifestyle  tobacco use  control  health promotion  morbidity  mortality  life cycle  hypertension  smoking  risk factors  interventions  unhealthy  quality care  preventive  curative  rehabilitative  palliative care nutrition-related risk-factors life-style-related diet-related chronic-degenerative life-style risk-factor morbidity-related preventions
2004_AO171,senior citizens  senior citizens act  older people  60 years or older  elderly  senior population  office of senior citizens affairs  OSCA   Expanded Senior Citizens Act of 2003 seniors retirees
2011_AO0018,Cheaper medicines  free medicines  cancer  mortality  catastrophic disease  quality of life  health  productivity  treatment  women  breast cancer insurance-covered mortality
2007_AO009,tobacco  cause of death  death  smokes  smoking  cigarettes  adult male smokers  tobacco epidemic  tobacco products  smoker  Framework Convention on Tobacco Control  tobacco-related disease  tobacco use cigarette non-cigarette filternonfilter
2009_AO023,drug-free workplace  drugs  safe working environment  drug use abusable drug(s) nondrug Licit misuse non-drug illicitstreet alcohol sedativeanxiolytic misuseabuse
2010_AO004,Expanded Senior Citizens Act of 2003  senior citizens  health of senior citizens unbranded generic medicines  generic menu card
1990_AO89A,malignant neoplasms  mortality  morbidity  non-communicable diseases  cancer  Cancer Control activities  Non-Communicable Disease Control Service  Philippine Cancer Control Program  survival rates  quality of life  cancer victims  control of cancer  education  prevention  early detection  Cancer Management Capabilities  health education Prevention Awareness drug  philippine national aids council  medicines access program  prospective donor
2012_AO0007,older persons  older people  aging population  The Expanded Senior Citizens Act of 2010  senior population  sixty (60) years old  indigent senior citizens  the senior citizen  senior citizens seniors retirees elders
2012_AO0029,ncd  ncd intervention  Strengthening the Prevention and Control of Chronic Lifestyle Related Non Communicable Diseases  chronic lifestyle  non-communicable diseases  morbidity  mortality  disability rates  chronic  lifestyle-related  interventions  chronic care  cardiovascular disease  cancer  diabetes  treatment  chronic respiratory disease  diabetes mellitus  smoking  hypertension  stroke  heart attack  kidney disease  blood pressure  ncd risk assessment  drinks  CVDs risk-factors life-style-related CVD chronic-degenerative diseases cardiocerebrovascular
1995_AO016A,20-65 years old diabetes prevalence chronic chronic disabling disorder wellness Non-Communicable Disease Control non-communicable disease quality of life diabetics Diabetes Prevention and Control Program morbidity mortality education early diagnosis management nutrition exercise anti-smoking lifestyle-related diseases chronic-disease adulthood cancer center respiratory infection
