AO,Final Keywords,LDA,VEC,cycle_2_keywords ,
2003_AO121,National newborn screening system  newborn screening  screening  metabolic disorders  newborn screening study group  newborns  vision of the child 21 framework  national institutes of health  life-threatening heritable diseases  parents  obstetrical pediatric services  newborn screening center  newborn screening reference center  Philippine health insurance corporation (PHIC)  NCDPC  NEC  BHFS   antenatal HIV AIDS chronic prevention,screening fee doh facility medicine program price clinic center health facility government development department health drug item personnel rule patient request food,facility-based HIV/AIDS/ART care WLWHIV chronic-disease health-care ETS-prevention service P-EOL-B surveillance,National newborn screening system  newborn screening  screening  metabolic disorders  newborn screening study group  newborns  vision of the child 21 framework  national institutes of health  life-threatening heritable diseases  parents  obstetrical pediatric services  newborn screening center  newborn screening reference center  Philippine health insurance corporation (PHIC)  NCDPC  NEC  BHFS   antenatal HIV AIDS chronic prevention HIV/AIDS/ART facility-based chronic-disease ,
2002_AO096,Multiple micronutrient supplementation  pregnant  recommended dietary allowance  deficiencies  disabilities  mental retardation  anemia  congenital malformations  FNRI  UNICEF   anemia anaemia iron malnourishment malnutrition rickets undernutrition nutrient deficiencyblood,health worker fund worker doctor government physician time person government hospital part case distribution policy act member payment manner patient rate republic act,anemia/iron under-nutrition undernourishment vitB(12) nutritional protein-caloric malabsorption Energy-protein protein/calorie protein-energy,Multiple micronutrient supplementation  pregnant  recommended dietary allowance  deficiencies  disabilities  mental retardation  anemia  congenital malformations  FNRI  UNICEF   anemia anaemia iron malnourishment malnutrition rickets undernutrition nutrient deficiencyblood undernourishment malabsorption protein/calorie,
1998A_AO017B,Sexually transmitted diseases  STD  UNICEF  mental  psychological  physical  children  sexual  treatment  abuse  exploitation  pathogens  rectal  genital  vaginosis  infection  warts  trauma  contact  laboratory  gonorrhea  chlamydia  syphilis  HIV  congenital  herpes   chlamydiasis sputum microscoy  transmission  high risk  testing,treatment facility case care laboratory patient drug system health facility implementation test policy program center child visit support quality management infection,STIs STDs sexually-transmitted STI STI/RTI STIs/RTIs infection(s) infections blood-transmitted STD-associated,Sexually transmitted diseases  STD  UNICEF  mental  psychological  physical  children  sexual  treatment  abuse  exploitation  pathogens  rectal  genital  vaginosis  infection  warts  trauma  contact  laboratory  gonorrhea  chlamydia  syphilis  HIV  congenital  herpes   chlamydiasis sputum microscoy  transmission  high risk  testing STIs sexually-transmitted STD-associated,
1996_AO009,Women's health and safe motherhood project  WHSMP  motherhood  LGU   women-centered woman women mother mother-friendlylive birth  rh law  reproductive health  abortion,provider woman care service provider family facility system implementation doh government program policy development health facility management delivery information level need patient,women-centred health/family family-planning WLWH maternal/newborn childbirth SRHR child-health midwifery-based mother-friendly,Women's health and safe motherhood project  WHSMP  motherhood  LGU   women-centered woman women mother mother-friendly live birth  rh law  reproductive health  abortion  WLWH woman care midwifery,
2002_AO102A,Vitamin  supplementation  vitamin a deficiency  national nutrition survey  preventive supplementation  therapeutic supplementation  prenatal vitamins  multivitamin  B-vitamin B micronutrient supplement diet dietary nutrition,support emergency hour cluster nutrition facility disaster health service development child management policy standard program assistance disease government bureau promotion agency,supplementations supplements multivitamins micronutrients acid/B B-vitamins nutriture nutritional multivitamin-multimineral home-fortified,Vitamin  supplementation  vitamin a deficiency  national nutrition survey  preventive supplementation  therapeutic   prenatal vitamins  multivitamin  B-vitamin B micronutrient supplement diet dietary nutrition fortified multimineral nutriture ,
2004_AO132,Family planning  natural family planning  cervical mucus  standard days method  DOH-NFPMC  NNFPC  billings ovulation  pregnancies  fertility awareness   post-abortion abortion IVF counselling antenatalreprodutive health  safe motherhood,family need method doh implementation information woman client area facility government report performance law level conduct number development provider document,postabortion practices pre-conception family-planning preconception preconceptual counseling antenatal childbirth IVF-related,Family planning  natural family planning  cervical mucus  standard days method  DOH-NFPMC  NNFPC  billings ovulation  pregnancies  fertility awareness   post-abortion abortion IVF counselling antenatalreprodutive health  safe motherhood  preconception preconceptual IVF-related,
1996_AO001A,Routine immunization  knock out polio  oplan alis disease  infants  OPV doses  child  vaccine vaccination revaccinationpoliovirus,support emergency hour cluster nutrition facility disaster health service development child management policy standard program assistance disease government bureau promotion agency,immunisation vaccinations immunisations immunizations revaccination DTaP3-CB standard-titer measles re-vaccination OPV-0,Routine immunization  knock out polio  oplan alis disease  infants  OPV doses  child  vaccine vaccination revaccinationpoliovirus re-vaccination standard-titer,
1972_AO166,maternity  leave  sicksalary  personal  travel,travel position program agency level appointment employee system policy promotion sector country facility government doh selection development unit applicant organization,service home childcare provider staff visiting ETS-prevention skilled-birth respite assistance,maternity  leave  sicksalary  personal  travel employee child care provider assistance childcare,
1980_AO097A,Maternity  clinics  institutions  pedriatrics  simulated births  simulation  maternities deliverieschild health   youth health   city health center,act bed province doh development health facility facility capacity region operation management center program increase level standard fund rule district implementation,hospitals maternity healthcare services facility-based health-care facilities non-hospital-based PHC community,Maternity  clinics  institutions  pedriatrics  simulated births  simulation  maternities deliverieschild health   youth health   city health center bed hospitals,
1997_AO025A,Neonatal  tetanus  livebirths  tetanus elimination  toxoid  pregnant  women  child-bearing  laboratory   newborn rubella perinatal intra-partum immunization vaccination antenatal,laboratory blood testing test regulation license doh accreditation section requirement rule bureau quality bank unit result facility rule regulation standard report,immunisation immunisations vaccinations intrapartum immunizations newborns rubella-susceptible new-borns neonatal measles,Neonatal  tetanus  livebirths  tetanus elimination  toxoid  pregnant  women  child-bearing  laboratory   newborn rubella perinatal intra-partum immunization vaccination antenatal,
