AO,specpop,
1999_AO016A,0.216706058,1
2000_AO100,0.1827433008,1
2004_AO185,0.1588177329,1
2006_AO003,0.1555361028,1
2013_AO0005,0.1052215491,1
2000_AO144,0.09463350121,1
1974_AO204,0.07317073171,0
1993_AO014,0.07317073171,0
1972_AO173,0.07196831031,0
1982_AO027,0.07128947082,0
1973_AO202,0.07072784854,0
1988_AO038,0.07048414099,0
1970_AO137,0.06906512577,0
1987_AO019,0.06895678315,0
1987_AO028A,0.06795450523,0
2004_AO151,0.06768347353,0
1983_AO062,0.06757037377,0
2005_AO026,0.06746255636,0
2001_AO067,0.06730594246,0
1982_AO022,0.06693619885,0
1981_AO118,0.06661693455,0
1985_AO136B,0.06613080026,0
1985_AO106B,0.06596970979,0
2004_AO180,0.0658145709,0
1993_AO017,0.06562116338,0
1988_AO044,0.06535869559,0
1981_AO120,0.06529219638,0
1975_AO241,0.06502474858,0
2002_AO106,0.06493975143,0
1973_AO200A,0.06487313266,0
1980_AO079,0.06478139578,0
1987_AO016,0.06476397988,0
1984_AO104A,0.06462714166,0
1978_AO343,0.06456658611,0
2006_AO034C,0.06436109009,0
2000_AO032,0.06431781652,0
1981_AO132,0.06429959164,0
2000_AO011,0.06428972199,0
1971_AO161,0.06394369374,0
1974_AO212,0.06392196393,0
