AO,specpop,FLAG
1999_AO016A,0.216706058,1
2000_AO100,0.1827433008,1
2004_AO185,0.1588177329,1
2006_AO003,0.1555361028,1
2013_AO0005,0.1052215491,1
2000_AO144,0.0946335012,1
1974_AO204,0.0731707317,0
1993_AO014,0.0731707317,0
1972_AO173,0.0719683103,0
1982_AO027,0.0712894708,0
1973_AO202,0.0707278485,0
1988_AO038,0.070484141,0
1970_AO137,0.0690651258,0
1987_AO019,0.0689567832,0
1987_AO028A,0.0679545052,0
2004_AO151,0.0676834735,0
1983_AO062,0.0675703738,0
2005_AO026,0.0674625564,0
2001_AO067,0.0673059425,0
1982_AO022,0.0669361989,0
1981_AO118,0.0666169346,0
1985_AO136B,0.0661308003,0
1985_AO106B,0.0659697098,0
2004_AO180,0.0658145709,0
1993_AO017,0.0656211634,0
1988_AO044,0.0653586956,0
1981_AO120,0.0652921964,0
1975_AO241,0.0650247486,0
2002_AO106,0.0649397514,0
1973_AO200A,0.0648731327,0
1980_AO079,0.0647813958,0
1987_AO016,0.0647639799,0
1984_AO104A,0.0646271417,0
1978_AO343,0.0645665861,0
2006_AO034C,0.0643610901,0
2000_AO032,0.0643178165,0
1981_AO132,0.0642995916,0
2000_AO011,0.064289722,0
1971_AO161,0.0639436937,0
1974_AO212,0.0639219639,0
