AO,adolescent,FLAG
1970_AO115,0.4256216364,0.5
1970_AO118,0.4348160616,0
1972_AO174,0.3544170321,0
1975_AO255,0.3958347621,0
1975_AO270,0.3563007482,0
1976_AO306,0.3542523432,0
1977_AO326,0.3444270888,0
1978_AO008,0.3597823037,0
1978_AO014,0.3719914086,0
1980_AO087,0.3631416192,0
1982_AO026C,0.3763753963,0
1995_AO010A,0.3465517227,0
1996_AO003A,0.3414195298,0
1996_AO043,0.3744856943,0
1997_AO002B,0.3404938805,0
1998_AO003,0.3657580607,0
1998_AO011D,0.3851692322,0
1999_AO048B,0.3983936498,0
2001_AO050A,0.3815396187,1
2002_AO074,0.381611471,0
2003_AO101,0.4074930056,0.5
2006_AO036A,0.3411343056,0
2008_AO012,0.333767241,0
2008_AO022,0.3398061992,0.5
2009_AO016,0.3874499152,0
2010_AO023,0.3636103407,0
2010_AO027,0.3393398447,0.5
2014_AO0005,0.3344884791,0.5
2015_AO0027,0.3341779078,0
2015_AO030,0.4051478994,0
2000_AO043,0.7911715533,1
1999_AO024A,0.7824881428,1
2013_AO0013,0.7330539788,1
2000_AO034A,0.6982140015,1
1998_AO001A,0.6832492652,1
2006_AO035,0.6671226806,1
2013_AO0011,0.6203194995,1
2000_AO138A,0.5959095203,1
1994_AO031F,0.5875008067,1
2006_AO016,0.5842399392,1
1980_AO090B,0.5737050865,0.5
1970_AO116,0.5550087635,1
2000_AO144,0.5429520835,1
2004_AO176,0.5263875574,0.5
2009_AO006,0.4959863053,1
1997_AO001B,0.492754555,1
1998_AO004,0.4892777662,0.5
2016_AO0005,0.4603840153,1
2008_AO011,0.4328184737,1
1970_AO118,0.4214136646,0
1998_AO017A,0.4152560568,0
1999_AO048B,0.4052318234,0
2007_AO010,0.4045720761,0.5
2014_AO0031,0.4036205391,0.5
1970_AO114,0.3953100725,1
2015_AO030,0.3939216577,0
2014_AO0002,0.3901045618,0.5
1998_AO012,0.3791160702,1
2002_AO074,0.3743554383,0
1979_AO032,0.3718820498,1
1996_AO043,0.3687118832,0
1975_AO255,0.3686974293,0
2007_AO007,0.3663508918,1
2007_AO009,0.3656322432,0.5
2017_AO0005,0.3618480289,0.5
2001_AO008,0.3610395634,1
2015_AO054,0.3604404954,0.5
1995_AO010A,0.3594826364,0
1978_AO014,0.3585201477,0
