AO,geriatrics,FLAG
2012_AO0007,0.9113000738,1
2004_AO171,0.9084493487,1
2004_AO177,0.9032459309,1
2015_AO0009,0.8446220135,1
2010_AO032,0.8426104221,1
2016_AO0001,0.7318987931,1
2011_AO0003,0.7217436637,1
2007_AO004,0.7020705632,1
2009_AO010,0.6842189656,1
2009_AO011,0.6840955292,0.5
2011_AO0018,0.680824136,1
2016_AO0039,0.6759339768,1
1990_AO89A,0.6564938195,1
2012_AO0029,0.6345954083,1
2011_AO0017,0.6320359494,1
1995_AO016A,0.6219556132,1
2007_AO009,0.6153802817,1
1973_AO188A,0.6117211815,1
2017_AO0001,0.6115424886,1
2016_AO0014,0.5996437226,1
2003_AO122,0.5929813113,1
2013_AO0010,0.5884162889,1
2010_AO004,0.5877879348,1
2010_AO013,0.5849257403,1
2001_AO008,0.5795231664,#N/A
2000_AO121,0.5684207209,1
1993_AO015,0.5668111693,1
2015_AO052,0.5654086806,1
2005_AO006,0.5602451797,1
2017_AO0008,0.5569876215,0.5
2005_AO011,0.5463954192,1
2016_AO0024,0.5440914493,1
2004_AO179,0.5392399742,#N/A
2009_AO023,0.5135518318,1
2000_AO082,0.4903964092,1
2015_AO0004,0.485018879,#N/A
1997_AO009B,0.4844019389,#N/A
2017_AO0003,0.4633842642,1
2008_AO013,0.4515436457,1
2014_AO0037,0.4459606697,#N/A
2011_AO0004,0.4379081293,0.5
2010_AO022,0.4245001816,1
2006_AO003,0.4150087667,#N/A
1993_AO008,0.4108298804,0.5
2016_AO0038,0.3904183071,#N/A
1998_AO019A,0.380372952,#N/A
2013_AO0028,0.354102632,#N/A
2013_AO0005,0.353009437,#N/A
2010_AO007,0.3521748605,#N/A
2010_AO036,0.34634883,#N/A
2006_AO029,0.3383134419,#N/A
1997_AO003B,0.3343433678,#N/A
2001_AO058,0.3336758309,#N/A
2016_AO0023,0.3331558654,#N/A
2009_AO029,0.3306934021,#N/A
2007_AO009A,0.3273516471,#N/A
2000_AO04A,0.3271075558,0.5
1998_AO019,0.3269006024,1
2010_AO009,0.3257808435,#N/A
2003_AO041,0.3256445836,#N/A
2014_AO0008,0.3224167838,#N/A
2013_AO0009,0.3222951026,#N/A
2002_AO137,0.320591622,#N/A
1999_AO031,0.3193796175,#N/A
2003_AO017B,0.3169493514,#N/A
2014_AO0017,0.316223219,#N/A
2009_AO002,0.3146140145,#N/A
2013_AO0018,0.311889697,#N/A
1997_AO002,0.3099590762,#N/A
2008_AO023,0.3097468909,#N/A
2016_AO0002,0.3093911247,#N/A
2012_AO0022,0.3084889924,#N/A
2011_AO0013A,0.3081379216,#N/A
2016_AO0007,0.3080673403,#N/A
2014_AO0007,0.3070799652,#N/A
2006_AO033,0.3054148797,#N/A
2015_AO0025,0.3026720441,#N/A
2005_AO023,0.2995184405,#N/A
2016_AO0010,0.2989409769,#N/A
2008_AO002,0.2988741824,#N/A
2007_AO038,0.2987865138,#N/A
1997_AO031A,0.2979501033,0
2011_AO0013,0.2977680435,0.5
2011_AO0006,0.2972169547,#N/A
2014_AO0024,0.2954930001,#N/A
1997_AO029A,0.2951932089,#N/A
2010_AO005,0.2932680623,#N/A
2001_AO051A,0.2909993989,#N/A
2001_AO062,0.2905486584,#N/A
2013_AO0033,0.2900199343,#N/A
1998A_AO018,0.2897032622,#N/A
2002_AO076,0.2895577933,#N/A
2015_AO044,0.289445857,#N/A
2014_AO0009,0.2885697737,0.5
2008_AO025,0.2883222996,#N/A
2001_AO037,0.2882385645,#N/A
2012_AO0018,0.2878777796,#N/A
2014_AO0002,0.2867198131,#N/A
2005_AO023A,0.2866911331,#N/A
2013_AO0025,0.286600961,#N/A
