AO,geriatrics,FLAG
2011_AO0013,0.6270599089,0.5
2014_AO0009,0.6185980983,0.5
2010_AO013,0.5870814061,1
2016_AO0034,0.573744846,1
2015_AO051,0.5661584672,0
2016_AO0009,0.5637726795,0
2014_AO0033,0.5586719176,0
2000_AO04A,0.55837268,0.5
2003_AO034A,0.5572597845,0
2008_AO013,0.5529448151,1
1997_AO031A,0.5496835567,0
2012_AO0023,0.5443432938,0
1989_AO063,0.541276297,0
1991_AO111B,0.5339811943,0
1988_AO051,0.533852624,0
2015_AO053,0.5311462476,0
1993_AO008,0.5301642517,0.5
1989_AO062,0.5286989449,0
2017_AO0003,0.5284568242,1
2013_AO0006,0.5238024727,0
2000_AO082,0.5231625637,1
2015_AO052,0.5230298156,1
2013_AO0010,0.5211692782,1
2004_AO171,0.9167662945,1
2012_AO0007,0.9166719101,1
2004_AO177,0.9125946952,1
2010_AO032,0.8473208009,1
2015_AO0009,0.8420287031,1
2009_AO011,0.7594416492,0.5
1990_AO89A,0.7279042419,1
2016_AO0001,0.7278429482,1
2011_AO0017,0.721598778,1
2011_AO0003,0.7190488637,1
2011_AO0018,0.7172963955,1
2012_AO0029,0.703937824,1
2016_AO0014,0.6841609951,1
2010_AO004,0.6834952073,1
2017_AO0001,0.6791331817,1
2007_AO004,0.6687957867,1
1995_AO016A,0.6682222654,1
2009_AO023,0.6237711733,1
2005_AO006,0.6227196824,1
2017_AO0008,0.6175849899,0.5
1973_AO188A,0.587181392,1
2010_AO022,0.5728125149,1
2014_AO0009,0.5699475583,0
2011_AO0013,0.5580034218,0
2003_AO122,0.5532888537,1
2009_AO010,0.5481223225,1
2016_AO0034,0.5354836134,0
1998_AO019,0.5310304307,1
2012_AO0023,0.5228293823,0
1997_AO031A,0.5191568435,0
2016_AO0039,0.5155318313,1
2016_AO0024,0.5129592426,1
2000_AO121,0.5097395229,1
2007_AO009,0.5077649517,1
2005_AO011,0.5076292586,1
2011_AO0004,0.5014089634,0.5
2015_AO051,0.4959039466,0
1993_AO015,0.4938159291,1
