AO,cycle_2_keywords
2004_AO171,senior citizens  senior citizens act  older people  60 years or older  elderly  senior population  office of senior citizens affairs  OSCA   Expanded Senior Citizens Act of 2003 seniors retirees elders cbovs
2012_AO0007,older persons  older people  aging population  The Expanded Senior Citizens Act of 2010  senior population  sixty (60) years old  indigent senior citizens  the senior citizen  senior citizens seniors retirees elders community life cbovs
2004_AO177,older population  older people  elderly  Expanded Senior Citizens Act of 2003  senior population  quality health  sixty (60) years of age  medicines aged persons mammography-use 65+ 18-64
2010_AO032,elderly  senior citizens  RA 994  RA 9711  indigent senior citizens  frail  sickly  OSCA  20% discount retirees elders seniors 55-60-year-old  pensioners homebound retirement-aged residents
2015_AO0009,aging  60 years and over  60 years old and over   the Republic Act of 9257  Republic Act 9994  Expanded Senior Citizens Act of 2010  The Expanded Senior Citizen’s Act of 2003  health and wellness of senior citizens  Filipino Older Persons  older population  functional health  chronic degenerative ailments  osteoporosis  dementia  sarcopenia  osteoarthritis  hearing and visual impairment  fractures among others can result in signiﬁcant restrictions in lifestyles  modiﬁcation in recreational and leisure activities  social isolation  poor nutrition  depression  and an overall decrease in the quality of life  national geriatric health agenda  Filipino Senior Citizen  Philippine Plan of Action for Senior Citizens 2012- 2016  active aging  Health and Wellness Program for Senior Citizens  Action on Aging  elderly  Republic Act no. 7432  An Act to Maximize the Contribution of Senior Citizens to Nation Building  Grant Beneﬁts and Special Privileges and for other purposes  An Act Granting Additional Beneﬁts and Privileges to Senior Citizens  Further Amending Republic Act No. 7432  growing older  productive aging  healthy aging  wellness of senior citizen disability unit control cbovs
2009_AO011,chronic illnesses with disabilities  discount  express lanes  chornic illnesses  long time  slowly worse over time  death  quality of life multimorbidities chronicpersistent
1990_AO89A,CHAIPI PCSS-B DPHSWD HIVAIDS residential-fire
2016_AO0001,morbidity  mortality  cancer  cancer prevention  cancer diagnosis  diseases  prevalence  Philippine Cancer Control Program  cancer epidemic  well-being  prevention  screening  diagnosis  palliative care and treatment  end-of-life  quality of life  Cancer Survivorship  Palliative Care   cancer management facilities  cancer education program TB-IPC prevention drug development treatment psychooncological early-detection screeningsurveillance cancer preventive comorbidity-related chronic-disease
2011_AO0017,indigent senior citizens  chronic medical conditions  elderly  death  An Act to Maximize the Contribution of Senior Citizens to Nation Building  Grant Beneﬁts and Special Privileges and for Other Purposes  indigent senior citizens  Health and Well—being of Older Persons (HWOP)  Coalition- of Citizens for the Elderly (COSE)  National Federation of Senior Citizens’ Associations of the Philippines (NF SCAP)  Confederation of Older Persons Association of the Philippines (COPAP)   residential care facility  abandoned  neglected  unattached  homeless  senior citizens cbovs
2011_AO0003,prevention  chronic  lifestyle  non-communicable disease  Cardiovascular diseases (CVD)  cancers  chronic respiratory diseases  diabetes  lifestyle  lifestyle-related  ncds  unhealthy lifestyle  tobacco use  control  health promotion  morbidity  mortality  life cycle  hypertension  smoking  risk factors  interventions  unhealthy  quality care  preventive  curative  rehabilitative  palliative care nutrition-related risk-factors life-style-related diet-related chronic-degenerative life-style risk-factor morbidity-related preventions drug development disability Nutrition-related inactivity-related adulthood NCDs adulthood CNCDs CVDs
