AO,mnchn,FLAG
2014_AO0045,0.8191218971,1
2003_AO121,0.8131302576,1
2003_AO119,0.8032430395,1
2005_AO020,0.7992733992,1
2000_AO003A,0.7721852488,1
2003_AO095,0.7714325522,1
2005_AO005,0.7663433969,1
2006_AO015,0.7655263908,1
2003_AO039,0.754316313,1
2002_AO096,0.7431871095,1
2014_AO0035,0.738054145,1
2009_AO025,0.7359808615,1
2012_AO0017,0.7255379236,1
2016_AO0035,0.7242812551,1
1996_AO001A,0.7231640073,1
2005_AO014,0.7198980337,1
2004_AO133,0.7165826979,1
1992_AO076A,0.7150142183,1
1997_AO017,0.7129180488,1
2012_AO0003,0.7095457235,0.5
2014_AO0003,0.7068309591,0.5
2000_AO001A,0.7029303925,1
2013_AO0015,0.6970299198,0.5
2002_AO102A,0.6878291936,1
2002_AO071,0.6875894562,1
1995_AO015,0.687151939,1
2000_AO079,0.686615789,1
2011_AO0016,0.6859461941,1
2007_AO026,0.685936413,1
2016_AO0036,0.6816633612,0.5
1999_AO004,0.6806214147,1
2014_AO0039,0.6778715863,0.5
2007_AO028,0.6669374401,1
2008_AO026,0.6562012132,1
1998_AO010,0.6526918204,1
1998_AO013,0.6492786253,1
1997_AO025A,0.620798774,1
1997_AO008A,0.6002816311,0.5
1998A_AO017B,0.5983554821,1
1998A_AO019A,0.5835960822,#N/A
2010_AO010,0.5780763849,1
2009_AO028,0.5497583939,#N/A
1998A_AO005,0.5472236849,#N/A
1996_AO021A,0.5431404501,1
1978_AO342,0.531777,1
1992_AO005,0.5242387728,1
2004_AO178,0.5141343593,1
1996_AO009,0.5058561966,1
2006_AO008,0.5056844205,1
1996_AO005,0.5045653105,0.5
1997_AO003,0.5012903816,1
1997_AO020,0.496530749,1
1984_AO100,0.4844065024,1
1978_AO340,0.4787200332,0.5
2010_AO020,0.4783356214,#N/A
2007_AO045,0.4667223822,#N/A
2004_AO132,0.4612265914,1
1995_AO006,0.4523454907,1
2010_AO014,0.4479400499,#N/A
2004_AO165,0.4187696607,#N/A
2002_AO125,0.4167315901,#N/A
2015_AO0020,0.4011305916,#N/A
2014_AO0012,0.4009174077,#N/A
2007_AO029,0.3976018089,#N/A
2008_AO029,0.396412438,#N/A
1980_AO097A,0.3949610659,0.5
2017_AO0011,0.3934753928,#N/A
2010_AO015,0.3913361098,#N/A
2010_AO017,0.3895604657,#N/A
1997_AO004,0.3866318338,#N/A
2016_AO0006,0.3860184119,#N/A
2009_AO006A,0.3796801526,#N/A
2000_AO019,0.3779055237,#N/A
2002_AO164,0.3764251826,#N/A
2003_AO025,0.3735628142,#N/A
2008_AO026A,0.3691719466,#N/A
1997_AO001B,0.3676677084,#N/A
2005_AO012,0.367389453,#N/A
2007_AO015,0.3604985686,#N/A
1995_AO004A,0.359478643,#N/A
2015_AO050,0.3594105463,#N/A
1996_AO019,0.3582561857,#N/A
2005_AO022,0.3561275006,#N/A
1997_AO016A,0.3536522545,#N/A
2016_AO0035A,0.3495375538,#N/A
2011_AO0014,0.3490627338,#N/A
2010_AO037,0.346750594,#N/A
2007_AO036,0.3465999682,#N/A
1988_AO053A,0.3462845158,#N/A
2013_AO0007,0.3458859212,#N/A
2012_AO0016,0.3417159882,#N/A
2009_AO027,0.3415369168,#N/A
2015_AO0003,0.3408730954,#N/A
2006_AO012,0.3403133139,#N/A
2014_AO0023,0.3399947906,#N/A
2001_AO049,0.3357886491,#N/A
2003_AO082,0.3308740402,#N/A
2017_AO0007,0.3291753179,#N/A
2008_AO009,0.3277838142,#N/A
2015_AO055,0.3269644307,#N/A
