AO,cycle_2_keywords,
1996_AO001A,Routine immunization  knock out polio  oplan alis disease  infants  OPV doses  child  vaccine vaccination revaccinationpoliovirus re-vaccination standard-titer,
1996_AO021A,Maternal care delivery component  obstetrics  gynecology  lying-in  clinics   gynaecology neonatology obstetric obstetrical pediatrics paediatrics OBGYN birth birthingmaternal care service nephrology dermatology perinatology anaesthesiology gastroenterology ophthalmology subspecialty rheumatology malaria,
1998_AO010,Obstetrical emergency care  prenatal  postnatal  safe deliveries  waiting homes  maternal deaths  cesarean  OB  facility  unit  family planning  antenatal  lying-in   obstetric NICU birthing birth midwife baby safe motherhood  reproductive health post-abortion intranatal rooming-in midwifery delivery,
2003_AO119,Micronutrient supplmentation  deficiency  malnutrition  food fortification  iodination  VADD  RDA  iron  anemia  supplement  iodine  multiple micronutrients  lactating women  UNICEF  CPC  vitamin a day  garantisadong pambata fortificant nutriture nutrition dietary supplement multi-mineral home-fortified fortifified,
2003_AO039,Expanded program on immunization  vaccine preventable diseases  children  women  fully immunized child  polio  measles  tetanus  TB  infants  neonatal  national immunization days  injection  OPV  DPT  TT  vials  cold chain management  early childhood care development card (ECCD)  growth monitoring card (GMC)  baby book  surveillance  center for health development   neonates vaccination vaccine outbreak young,
2002_AO102A,Vitamin  supplementation  vitamin a deficiency  national nutrition survey  preventive supplementation  therapeutic   prenatal vitamins  multivitamin  B-vitamin B micronutrient supplement diet dietary nutrition fortified multimineral nutriture,
2002_AO096,Multiple micronutrient supplementation  pregnant  recommended dietary allowance  deficiencies  disabilities  mental retardation  anemia  congenital malformations  FNRI  UNICEF   anemia anaemia iron malnourishment malnutrition rickets undernutrition nutrient deficiencyblood undernourishment malabsorption proteincalorie,
1997_AO017,Combined diphtheria  whole cell pertussis  tetanus  hepatitis  tritanrix hb10  children  6 weeks  maternal and child health services (MCHS)  vaccine  whitish  intramuscular  doses  immunization vaccination vaccine drug,
2002_AO071,Polio  polio-free  immunization  maintenance  hospital  poliomyelitis  knock-out polio  acute flaccid paralysis  polio virus  batik patak kontra polio   measles smallpox rabies vaccination vaccine immunize varicella poliovirus  polio eradication strain h1n1p influenza,
2005_AO005,Newborn screening  maximum allowable service fees  ACNBS  NSC reimbursement precertificationprenatal care reimbursable unreimbursed preauthorization,
2003_AO095,Acute flaccid paralysis  neonatal tetanus  paralysis  RITM  measles   polio poliomyelitis chicken-pox chicken pox poliovirus,
1978_AO340,Immunization  national tuberculosis program  bcg  nurses  nurses of the Philippine tuberculosis society  expanded programs in immunization (EPI)   HIV AIDS ART TB PMTCT drug vaccine   vaccination TBHIV contact-tracing,
1996_AO009,Women's health and safe motherhood project  WHSMP  motherhood  LGU   women-centered woman women mother mother-friendly live birth  rh law  reproductive health  abortion  WLWH woman care midwifery,
1997_AO025A,Neonatal  tetanus  livebirths  tetanus elimination  toxoid  pregnant  women  child-bearing  laboratory   newborn rubella perinatal intra-partum immunization vaccination antenatal,
1997_AO020,Funds  liquidation  disbursement  WHSMP  loan  expenditure   laboratory blood subsidy medicine plan debt fund loan bankcontinuing quality improvement  doh general appropriations act  funded project,
1995_AO006,Integrated family planning and maternal health project  integrated family planning  maternal health   newborn child women woman responsible parenthood  contraceptive supply  core package  informed choice  prenatal care  birthing center  newborn care  reproductive health ETS-prevention preconception women-centered,
1984_AO100,leave married woman  safe motherhood unwed unmarried,
2003_AO121,National newborn screening system  newborn screening  screening  metabolic disorders  newborn screening study group  newborns  vision of the child 21 framework  national institutes of health  life-threatening heritable diseases  parents  obstetrical pediatric services  newborn screening center  newborn screening reference center  Philippine health insurance corporation (PHIC)  NCDPC  NEC  BHFS   antenatal HIV AIDS chronic prevention HIVAIDSART facility-based chronic-disease,
