AO,specpop,FLAG
1999_AO016A,0.0761185937,1
2000_AO100,0.0656928939,1
2004_AO185,0.0517690916,1
1996_AO014A,0.0389187851,#N/A
2000_AO144,0.0358757703,1
2000_AO025,0.0274982442,#N/A
1985_AO110,0.0268664785,#N/A
1986_AO014,0.0261622206,#N/A
2013_AO0005,0.0254195991,1
2010_AO022A,0.0248954095,#N/A
1977_AO333,0.0239109341,#N/A
1999_AO044,0.0234989694,#N/A
1977_AO338,0.0232679026,#N/A
1976_AO283,0.0228056113,#N/A
1980_AO097A,0.0225659597,#N/A
1987_AO026,0.022414387,#N/A
1974_AO226,0.0221560974,#N/A
2007_AO015A,0.0221200034,#N/A
1998A_AO019,0.0219668865,#N/A
2003_AO085,0.0217880005,0
1988_AO053,0.0216799385,#N/A
1977_AO332,0.0216312377,#N/A
1997_AO004,0.0215529236,#N/A
1996_AO032,0.0214717509,#N/A
1987_AO019,0.0213528159,0
1978_AO010,0.0213499742,#N/A
1998A_AO021,0.0211747967,#N/A
1990_AO092A,0.0209557142,#N/A
1971_AO161,0.0209342836,0
1987_AO028A,0.0208517593,0
1974_AO230,0.0208042903,#N/A
1970_AO128,0.0207796039,#N/A
do2014-0050-a,0.0206169503,#N/A
1988_AO038,0.0205862272,0
2000_AO116,0.0204648783,#N/A
1996_AO005,0.0203984661,#N/A
1982_AO043,0.0203713657,#N/A
2007_AO016,0.0203174279,#N/A
2005_AO026,0.0202863006,0
1986_AO152,0.0202824439,#N/A
1983_AO055,0.0201085282,#N/A
1985_AO129,0.0200138449,#N/A
2004_AO173,0.0198523866,#N/A
1984_AO087,0.0198016219,#N/A
1970_AO134,0.0197843751,#N/A
1990_AO093,0.0197762368,0
1972_AO178,0.0197652263,0
1989_AO058,0.019740497,#N/A
2003_AO089,0.0197339482,#N/A
1991_AO100A,0.0196507742,#N/A
1980_AO089,0.0194754923,0
1982_AO021B,0.0193975514,#N/A
1980_AO097,0.0193921486,#N/A
2002_AO134,0.0193724115,#N/A
1973_AO202,0.0193587919,0
2005_AO026A,0.0192965291,#N/A
1990_AO094,0.0192442991,#N/A
2002_AO106,0.0192363468,0
2010_AO005A,0.0192047669,#N/A
1985_AO106B,0.0190723884,0
1999_AO025,0.0190609938,0
1984_AO088,0.0190602844,#N/A
1974_AO231,0.0190531678,#N/A
1977_AO317,0.0190313484,#N/A
2000_AO018,0.0189947757,#N/A
1978_AO343,0.0189873128,0
1980_AO090A,0.0189764154,0
1992_AO120,0.0189453452,#N/A
1988_AO044,0.0189299336,0
1971_AO135,0.018861373,#N/A
1970_AO122,0.0188168428,#N/A
1973_AO196,0.0187490076,#N/A
1971_AO140,0.0187135658,#N/A
2000_AO168,0.0186861245,#N/A
1985_AO100C,0.0186604188,#N/A
1991_AO104,0.0186517594,#N/A
2000_AO032,0.0186369292,0
2001_AO067,0.0186153892,0
1970_AO113,0.018595767,#N/A
1986_AO147,0.0185907296,#N/A
2006_AO003,0.0185748806,1
2003_AO114,0.0185385156,#N/A
2000_AO004,0.0185045847,#N/A
1977_AO315,0.0184921079,#N/A
dpo2014-0411-a,0.0184857298,#N/A
1998A_AO020A,0.0184742943,#N/A
2001_AO063,0.0184676135,#N/A
1982_AO024A,0.0184563423,#N/A
2001_AO053,0.0184408842,#N/A
2004_AO131,0.0184200897,#N/A
1972_AO175,0.0183575504,#N/A
1998_AO019B,0.0183514302,#N/A
1970_AO115,0.0182749293,#N/A
1982_AO032,0.0182712136,#N/A
1984_AO091,0.0182430699,#N/A
2003_AO020,0.0182208672,#N/A
1973_AO200A,0.0180755547,0
1985_AO115,0.0180587157,#N/A
1994_AO032D,0.0180231735,#N/A
2003_AO072,0.0180054623,#N/A
